2026-01-21T06:17:07.083041+0000 | INFO | __main__:initialize:46 | ✅ Все компоненты инициализированы
2026-01-21T06:17:07.083195+0000 | INFO | __main__:run:59 | ✅ Запуск бота
2026-01-21T06:33:37.984669+0000 | INFO | rabbitmq_service:wait_for_rabbitmq:32 | ✓ RabbitMQ доступен после 1 попытки
2026-01-21T06:33:37.993994+0000 | INFO | rabbitmq_init:connect:29 | ✓ Успешно подключились к RabbitMQ
2026-01-21T06:33:37.994359+0000 | INFO | bot_init:bot_init:15 | 🔑 Токен бота получен (длина: 45 символов)
2026-01-21T06:33:38.169730+0000 | INFO | bot_init:bot_init:21 | Name     - goodboy
2026-01-21T06:33:38.169975+0000 | INFO | bot_init:bot_init:22 | Username - @ggoodboyybot
2026-01-21T06:33:38.170225+0000 | INFO | bot_init:bot_init:23 | ID       - 848325310
2026-01-21T06:33:38.170340+0000 | INFO | bot_init:bot_init:24 | BOT INITIALIZATION
2026-01-21T06:33:38.171740+0000 | INFO | bot_init:bot_init:32 | 🚀 Запускаем телеграм бота...
2026-01-21T06:33:38.172104+0000 | INFO | __main__:initialize:46 | ✅ Все компоненты инициализированы
2026-01-21T06:33:38.172255+0000 | INFO | __main__:run:59 | ✅ Запуск бота
2026-01-21T06:34:06.139583+0000 | INFO | rabbitmq_service:wait_for_rabbitmq:32 | ✓ RabbitMQ доступен после 1 попытки
2026-01-21T06:34:06.149951+0000 | INFO | rabbitmq_init:connect:29 | ✓ Успешно подключились к RabbitMQ
2026-01-21T06:34:06.150146+0000 | INFO | bot_init:bot_init:15 | 🔑 Токен бота получен (длина: 45 символов)
2026-01-21T06:34:06.322322+0000 | INFO | bot_init:bot_init:21 | Name     - goodboy
2026-01-21T06:34:06.322564+0000 | INFO | bot_init:bot_init:22 | Username - @ggoodboyybot
2026-01-21T06:34:06.322723+0000 | INFO | bot_init:bot_init:23 | ID       - 848325310
2026-01-21T06:34:06.322839+0000 | INFO | bot_init:bot_init:24 | BOT INITIALIZATION
2026-01-21T06:34:06.324168+0000 | INFO | bot_init:bot_init:32 | 🚀 Запускаем телеграм бота...
2026-01-21T06:34:06.324429+0000 | INFO | __main__:initialize:46 | ✅ Все компоненты инициализированы
2026-01-21T06:34:06.324563+0000 | INFO | __main__:run:59 | ✅ Запуск бота
2026-01-21T07:20:13.618485+0000 | INFO | rabbitmq_service:wait_for_rabbitmq:32 | ✓ RabbitMQ доступен после 1 попытки
2026-01-21T07:20:13.629009+0000 | INFO | rabbitmq_init:connect:29 | ✓ Успешно подключились к RabbitMQ
2026-01-21T07:20:13.629487+0000 | INFO | bot_init:bot_init:15 | 🔑 Токен бота получен (длина: 45 символов)
2026-01-21T07:20:13.811740+0000 | INFO | bot_init:bot_init:21 | Name     - goodboy
2026-01-21T07:20:13.811905+0000 | INFO | bot_init:bot_init:22 | Username - @ggoodboyybot
2026-01-21T07:20:13.811966+0000 | INFO | bot_init:bot_init:23 | ID       - 848325310
2026-01-21T07:20:13.812011+0000 | INFO | bot_init:bot_init:24 | BOT INITIALIZATION
2026-01-21T07:20:13.812666+0000 | INFO | bot_init:bot_init:32 | 🚀 Запускаем телеграм бота...
2026-01-21T07:20:13.812773+0000 | INFO | __main__:initialize:46 | ✅ Все компоненты инициализированы
2026-01-21T07:20:13.812870+0000 | INFO | __main__:run:59 | ✅ Запуск бота
